Course,Credits,PassingGrades,Type,FromSemester,ToSemester
ACCT201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ARAB201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BCOM300,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
BIOL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CHEM201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CHEM202,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CHEM209,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CHEM210,1,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CIVL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CIVL202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
CMPS202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
COMM201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
COMM214,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ENGL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
ENGL202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
DSAI401,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
MNGT201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
INFO404,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL202,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL203,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL204,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL205,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL206,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL207,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL208,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL211,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL212,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL213,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL220,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL270,0,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL280,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL281,1,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
PBHL282,2,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
S.C.E,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
SOCL210,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
STAT201,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Required,,
INEG200,15,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
INEG300,12,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
ENGL101,6,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
CHEM101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
BIOL101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
PHYS101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
MATH101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
MATH102,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
